Author,CN,Bachelor,Master,PhD,Github,Homepage,
Aaron Courville,,,,,https://github.com/MiniXC,,
Aaron van den Oord,,,,,,,
Abdelrahman Mohamed,,,,,,,
Adam Polyak,,,,,,,
Adrian Lancucki,,,,,,,
Ahmed Omran,,,,,,,
Ajay Kannan,,,,,,,
AjinKya Kulkarni,,,,,,,
Akifumi Yoshimoto,,,,,,,
Alejandro Luebs,,,,,,,
Alex Graves,,,,,,,
Alex Roebel,,,,,,,
Alexander Richard,,,,,,,
Alexandre Defossez,,,,,,,
Alexandre de Brebisson,,,,,,,
Alexei Baevski,,,,,,,
Ambika Kirkland,,,,,,,
Ambuj Mehrish,,,,,,,
Andrew Gibiansky,,,,,,,
Andrew Senior,,,,,,,
Arnaldo Candido Junior,,,,,,,
Baoxing Huai,,,,,,,
Benjamin Bolte,,,,,,,
Beomjeong Kim,,,,,,,
Binbin Zhang,张彬彬,,,,,,
Bing Han,,,,,,,
Bo Cheng,,,,,,,
Bohan Li,,,,,,,
Boris Ginsburg,,,,,,,
Bryan Catanzaro,,,,,,,
Canrun Li,,,,,,,
Ce Liu,,,,,,,
Chang Zhou,,,,,,,
Changqiao Wu,,,,,,,
Chao Weng,,,,,,,
Chao Zhang,,,,,,,
Chaoren Wang,,,,,,,
Che Hyun Lee,,,,,,,
Chen Chen,,,,,,,
Chen Xie,陈谐,,,,,,
Chen Zhang,,,,,,,
Chenfeng Miao,,,,,,,
Chengyi Wang,王程一,,,,,,
Chenpeng Du,杜晨鹏,,,,,,
Chenxu Hu,,,,,,,
Chenye Cui,,,,,,,
Cheol Jun Cho,,,,,,,
Christian Szegedy,,,,,,,
Christoph Minixhofer,,,,,,,
Christopher Shulby,,,,,,,
Chunfeng Wang,,,,,,,
Chung-Hsien Tsai,,,,,,,
Chunlei Zhang,,,,,,,
Chuyuan Zhang,,,,,,,
Cong Han,,,,,,,
Dading Chong,,,,,,,
Daisy Stanton,,,,,,,
Dake Guo,郭大可,,,,,,
Daksitha Withanage Don,,,,,,,
Damien Vincent,,,,,,,
Dan Su,,,,,,,
Danming Xie,,,,,,,
David Grangier,,,,,,,
David Harwath,,,,,,,
Dejan Markovic,,,,,,,
Detai Xin,辛德泰,,,,,,
Devi Parikh,,,,,,,
Dhruv Agarwal,,,,,,,
Diederik P. Kingma,,,,,,,
Dingdong Wang,,,,,,,
Dohee Kong,,,,,,,
Dominik Roblek,,,,,,,
Dominik Schiller,,,,,,,
Dong Won Kim,,,,,,,
Dong Yu,,,,,,,
Dong Zhang,张栋,,,,,,
Dongchao Yang,杨东超,上海大学 (SHU) 2020,北京大学 (PKU) 2023,香港中文大学 (CUHK),https://github.com/yangdongchao,https://dongchaoyang.top,
Edresson Casanova,,,,,,,
Edward Lockhart,,,,,,,
Elisabeth Andre,,,,,,,
Eliya Nachmani,,,,,,,
Emmanuel Dupoux,,,,,,,
Eng Siong Chng,,,,,,,
Enno Hermann,,,,,,,
Eren Golge,,,,,,,
Erich Elsen,,,,,,,
Eugene Kharitonov,,,,,,,
Eunwoo Song,,,,,,,
Eva Szekely,,,,,,,
Evgeny Kharitonov,,,,,,,
Fan Bu,,,,,,,
Feiyang Chen,,,,,,,
Felix Kreuk,,,,,,,
Felix Wu,,,,,,,
Feng Wang,,,,,,,
Fenglong Xie,,,,,,,
Florian Stimberg,,,,,,,
Frank Hutter,,,,,,,
Frank Soong,,,,,,,
Furu Wei,韦福如,,,,,,
Gabriel Synnaeve,,,,,,,
Gang Wang,,,,,,,
Gavin Mischler,,,,,,,
Gopala K. Anumanchipalli,,,,,,,
Guanjun Li,,,,,,,
Guanrou Yang,杨冠柔,,,,,,
Gustav Eje Henter,,,,,,,
Ha-Yeong Choi,,,,,,,
Hai Huang,,,,,,,
Hai Li,,,,,,,
Haibin Wu,,,,台湾大学 (NTU),https://github.com/hbwu-ntu,https://hbwu-ntu.github.io,
Haizhou Li,,,,,,,
Han Zhang,,,,,,,
Hankun Wang,王翰坤,,,,,,
Hanting Wang,,,,,,,
Hanzhao Li,李函昭,,,,https://github.com/kkksuper,,
Hao Yin,殷昊,,,,,,
Haohan Guo,郭浩瀚,,,,,,
Haohe Liu,,,,,,,
Haopeng Chen,,,,,,,
Haorui He,,,,,,,
Harm Lameris,,,,,,,
He Huang,,,,,,,
Heeseung Kim,,,,,,,
Heiga Zen,,,,,,,
Helen Meng,蒙美玲 (教授),,,,,https://www.se.cuhk.edu.hk/people/academic-staff/prof-meng-mei-ling-helen/,
Hemin Yang,,,,,,,
Henry Zhou,,,,,,,
Hiroshi Saruwatari,猿渡洋,,,,,,
Hongzhan Lin,,,,,,,
Huaming Wang,,,,,,,
Huan Zhao,赵欢,,,,,,
Hubert Siuzdak,,,,,https://github.com/hubertsiuzdak,,
Hui Zhang,,,,,,,
Huiwen Chang,,,,,,,
Hukai Huang,,,,,,,
Hyun Joon Park,,,,,,,
Hyunjae Cho,,,,,,,
Ilya Loshchilov,,,,,,,
Ishaan Gulrajani,,,,,,,
Ishaan Kumar,,,,,,,
Israel D. Gebru,,,,,,,
Jade Copet,,,,,,,
Jaehyeon Kim,,,,,,,
Jaekyoung Bae,,,,,,,
Jaewoong Cho,,,,,,,
Jagadeesh Balam,,,,,,,
Jan Skoglund,,,,,,,
Jeff Donahue,,,,,,,
Jeongmin Kim,,,,,,,
Ji-Hyun Lee,,,,,,,
Jia Jia,贾珈 (教授),清华大学 (THU) 2003,,清华大学 (THU) 2008,,https://www.cs.tsinghua.edu.cn/info/1116/4777.htm,
Jiahao Pan,,,,,,,
Jiahe Lei,,,,,,,
Jiale Han,,,,,,,
Jialong Zuo,,,,,,,
Jiaming Wang,,,,,,,
Jian Cong,,,,,,,
Jiang Bian,边江,,,,,,
Jiangyan Yi,,,,,,,
Jianhua Tao,陶建华 (教授),南京大学 (NJU) 1993,南京大学 (NJU) 1996,清华大学 (2001),,,
Jianyi Chen,,,,香港科技大学 (HKUST),,,
Jiatong Shi,,,,,,,
Jiawei Chen,,,,,,,
Jiayan Lin,,,,,,,
Jiheum Yeom,,,,,,,
Jihoon Park,,,,,,,
Jimmy Lei Ba,,,,,,,
Jin Sob Kim,,,,,,,
Jin Xu,,,,,,,
Jinchuan Tian,,,,,,,
Jing Xiao,,,,,,,
Jinglin Liu,刘静林,,,,https://github.com/MoonInTheRiver,https://silentlin15.github.io,
Jingren Zhou,,,,,,,
Jinqiao Dou,,,,,,,
Jinyu Li,李劲宇,,,,,,
Jinzheng He,,,,,,,
Jinzhu Li,,,,,,,
Johanna Kuch,,,,,,,
John Miller,,,,,,,
Jonas Beskow,,,,,,,
Jonathan Raiman,,,,,,,
Jonathan Shen,,,,,,,
Jose Sotelo,,,,,,,
Juhee Son,,,,,,,
Julian Weber,,,,,,,
Jun Han,,,,,,,
Jun Ma,,,,,,,
Jun Wang,,,,,,,
Jun Zhan,,,,,,,
Junan Zhang,,,,,,,
Jungil Kong,,,,,,,
Junhui Liu,,,,,,,
Junhyeok Lee,,,,,,,
Junjie Li,李俊杰,,,,,,
Junzuo Zhou,,,,,,,
Justin Lovelace,,,,,,,
Kai Chen,,,,,,,
Kai Hu,,,,,,,
Kai Shen,沈锴,,,,,,
Kai Yu,俞凯 (教授),,,,,,
Kai-wei Chang,张凯为,,,台湾大学 (NTU),https://github.com/ga642381,https://kwchang.org,
Kainan Peng,,,,,,,
Kaitao Song,宋恺涛,,,,,,
Karen Simonyan,,,,,,,
Karl El Hajal,,,,,,,
Kehan Li,,,,,,,
Keon Lee,,,,,,,
Kevin Shih,,,,,,,
Kexin Zhao,,,,,,,
Kilian Q. Weinberger,,,,,,,
Koray Kavukcuoglu,,,,,,,
Krishna C. Puvvada,,,,,,,
Kuan Chen,,,,,,,
Kun Song,宋堃,,,,,,
Kun Xie,,,,,,,
Kundan Kumar,,,,,,,
Kushal Lakhotia,,,,,,,
Kwangyoun Kim,,,,,,,
Le Xu,,,,,,,
Lei He,何磊,,,,,,
Lei Xie,谢磊,,,,,,
Lexiao Zou,,,,,,,
Leying Zhang,,,,,,,
Li Xiao,,,,,,,
Liejun Wang,,,,,,,
Lin Li,李琳,,,,,,
Lingwei Meng,,,,,,,
Lingyan Huang,,,,,,,
Linhan Ma,马林涵,,,,,,
Lior Wolf,,,,,,,
Liumeng Xue,薛浏蒙 (博士后),,,西北工业大学 (NPU),https://github.com/lmxue,,
Long Zhou,周龙,,,,,,
