Title,Abbreviation,Class,ArXiv,ArXiv v1 Date,ArXiv New Version,ArXiv New Date,Publication,Publication Date,DOI,Authors,OpenSource,Official Code,HuggingFace,Demo Page,Page Number,Cite Number,Google Scholar,Cited by,Theory,Propose,Architecture,Tasks,Datasets,Compare Methods,Tags,AR/NAR,Update Time
Adam: A Method for Stochastic Optimization,Adam,Optimizer,https://arxiv.org/abs/1412.6980,2014.12.22,v9,2017.01.30,ICLR2015,,,"Diederik P. Kingma, Jimmy Ba",,,,,,,https://scholar.google.com/scholar?cluster=16194105527543080940,192990,,,,,,,,,2024.10.15
Batch Normlization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,BatchNormalization,Trick,https://arxiv.org/abs/1502.03167,2015.02.11,v3,2015.03.02,ICML2015,,,"Sergey Ioffe, Christian Szegedy",,,,,,,,,,,,,,,,,2024.10.23
WORLD: A Vocoder-Based High-Quality Speech Synthesis System for Real-Time Applications,WORLD,Vocoder,[Unavailable],2016.07.01,[Unavailable],[Unavailable],IEICE TransInf2016,2016.07.01,https://doi.org/10.1587/transinf.2015EDP7457,"Masanori Morise, Fumiya Yokomori, Kenji Ozawa",,,,,,,https://scholar.google.com/scholar?cluster=1666706309019212851,1478,,,,TTS,,,,,2024.10.15
Layer Normalization,Layer Normalization,Trick,https://arxiv.org/abs/1607.06450,2016.07.21,v1,2016.07.21,,,,"Jimmy Lei Ba, Jamie Ryan Kiros, Geoffrey E. Hinton",,,,,,,[Unavailable],12783,,,,,,,,,2024.10.23
WaveNet: A Generative Model for Raw Audio,WaveNet,Vocoder,https://arxiv.org/abs/1609.03499,2016.09.12,v2,2016.09.19,,,,"Aaron van den Oord, Sander Dieleman, Heiga Zen, Karen Simonyan, Oriol Vinyals, Alex Graves, Nal Kalchbrenner, Andrew Senior, Koray Kavukcuoglu",,,,,,,,,,,,,,,,AR,2024.10.23
SampleRNN: An Unconditional End-to-End Neural Audio Generation Model,SampleRNN,Vocoder,https://arxiv.org/abs/1612.07837,2016.12.22,v2,2017.02.11,ICLR2017,,,"Soroush Mehri, Kundan Kumar, Ishaan Gulrajani, Rithesh Kumar, Shubham Jain, Jose Sotelo, Aaron Courville, Yoshua Bengio",,,,,,,,,,,,,,,,,2024.10.23
Char2Wav: End-to-End Speech Synthesis,Char2Wav,,[Unavailable],2017.02.18,[Unavailable],[Unavailable],ICLR2017,2017.02.18,https://openreview.net/forum?id=B1VWyySKx,,,,,,,,https://scholar.google.com/scholar?cluster=6778319284287669999,522,,,,TTS,,,,,2024.10.23
Deep Voice: Real-Time Neural Text-to-Speech,DeepVoice,,https://arxiv.org/abs/1702.07825,2017.02.25,v2,2017.03.07,ICML2017,2017.08.06,https://proceedings.mlr.press/v70/arik17a.html,"Sercan O. Arik, Mike Chrzanowski, Adam Coates, Gregory Diamos, Andrew Gibiansky, Yongguo Kang, Xian Li, John Miller, Andrew Ng, Jonathan Raiman, Shubho Sengupta, Mohammad Shoeybi",,,,,,,https://scholar.google.com/scholar?cluster=18296399576126585694,819,,,,TTS,,,,,2024.10.23
Tacotron: Towards End-to-End Speech Synthesis,Tacotron,,https://arxiv.org/abs/1703.10135,2017.03.29,v2,2017.04.06,InterSpeech2017,2017.08.20,https://doi.org/10.21437/Interspeech.2017-1452,"Yuxuan Wang, R.J. Skerry-Ryan, Daisy Stanton, Yonghui Wu, Ron J. Weiss, Navdeep Jaitly, Zongheng Yang, Ying Xiao, Zhifeng Chen, Samy Bengio, Quoc Le, Yannis Agiomyrgiannakis, Rob Clark, Rif A. Saurous",,,,,,,https://scholar.google.com/scholar?cluster=11291739830353377265,2175,,,,TTS,,,,,2024.10.08
Deep Voice 2: Multi-Speaker Neural Text-to-Speech,DeepVoice2,,https://arxiv.org/abs/1705.08947,2017.05.24,v2,2017.09.20,NeurIPS2017,,https://dl.acm.org/doi/abs/10.5555/3294996.3295056,"Sercan Arik, Gregory Diamos, Andrew Gibiansky, John Miller, Kainan Peng, Wei Ping, Jonathan Raiman, Yanqi Zhou",,,,,,,https://scholar.google.com/scholar?cluster=188402189689268087,656,,,,TTS,,,Multi-Speaker,,2024.10.25
