Time,Model,Submodel,Institutions,ArXiv,Publication,OpenSource,Github,Framework,Training Objectives,Discriminator,Dataset,Area
2021.07.07,SoundStream,,,https://arxiv.org/abs/2107.03312v1,,,,,,,,
2022.07.18,TF-Codec,,,https://arxiv.org/abs/2207.08363v3,TASLP2023,,,,,,,
2022.10.24,EnCodec,24kHz Monophonic,US-MetaAI,https://arxiv.org/abs/2210.13438v1,TMLR2023,Inference,http://github.com/facebookresearch/encodec,RVQ-GAN,Reconstruction+Adversarial+RVQ Commit,MS-STFT,DNS Chanllenge4 + CommonVoice + AudioSet + FSD50K,Speech + Audio
2022.10.24,EnCodec,48kHz Fullband Stereo,US-MetaAI,https://arxiv.org/abs/2210.13438v1,TMLR2023,Inference,http://github.com/facebookresearch/encodec,RVQ-GAN,Reconstruction+Adversarial+RVQ Commit,MS-STFT,Jamendo,Music
2023.03.23,LMCodec,,,https://arxiv.org/abs/2303.12984v1,ICASSP2023,,,,,,,
2023.05.04,HiFi-Codec,,"CN-PKU, CN-TencentAI, CN-ZJU",https://arxiv.org/abs/2305.02765v1,No,Train + Inference,https://github.com/yangdongchao/AcademiCodec,,,,LibriTTS + VCTK + AISHELL,Speech
2023.05.26,AudioDec,,,https://arxiv.org/abs/2305.16608v1,ICASSP2023,,https://github.com/facebookresearch/AudioDec,,,,,
2023.06.11,DAC,,,https://arxiv.org/abs/2306.06546v2,NeurIPS2023Spotlight,,https://github.com/descriptinc/descript-audio-codec,,,,,
2023.08.31,SpeechTokenizer,16kHz HuBERT_AVG,CN-FUDAN,https://arxiv.org/abs/2308.16692v2,ICLR2024,Train + Inference,https://github.com/ZhangXInFD/SpeechTokenizer/,RVQ-GAN,Reconstruction+Adversarial+RVQ Commit+Semantic Distillation,MS-STFT + MPD + MSD,LibriSpeech,Speech
2023.08.31,SpeechTokenizer,16kHz SNAKE HuBERT_AVG,CN-FUDAN,https://arxiv.org/abs/2308.16692v2,ICLR2024,Train + Inference,https://github.com/ZhangXInFD/SpeechTokenizer/,RVQ-GAN,Reconstruction+Adversarial+RVQ Commit+Semantic Distillation,MS-STFT + MPD + MSD,LibriSpeech + CommonVoice,Speech
2023.08.31,RepCodec,,,https://arxiv.org/abs/2309.00169v3,ACL2024,,,,,,,
2023.09.14,FunCodec,,,https://arxiv.org/abs/2309.07405v2,ICASSP2024,Train + Inference,https://github.com/alibaba-damo-academy/FunCodec,,,,,
