Time,Model,Submodel,PreTrained,Datasets,Datasets Durations (Hrs),Datasets Domain,Training Iterations,Sampling Rate (kHz),Quantization,Number of Q,Frame Rate (Hz),Vocabulary Size Per Q,Bitrate (kbps)
2021.07.07,SoundStream,,,LibriTTS + Freesound + MagnaTagATune,,Speech+Music,,24,RVQ,24,75,1024,18
2022.07.05,Siahkoohi2022Ultra,,,,,,,16,RVQ,"[2+1,2+2,6]",25+50,64,"[0.60,0.90,1.80]"
2022.07.18,TF-Codec,1k_40ms_redundant,tfcodec_1k_545000,,,,,16,GVQ,6,25,1024,1
2022.07.18,TF-Codec,3k_40ms_redundant,NO AVAILABLE,,,,,16,GVQ,16,25,1024,3
2022.07.18,TF-Codec,3k_40ms_redundant_Learnable,NO AVAILABLE,,,,,16,GVQ,16,25,1024,3
2022.07.18,TF-Codec,6k_20ms_redundant,tfcodec_6k_514000,,,,,16,GVQ,16,25,1024,6
2022.07.18,TF-Codec,6k_40ms_redundant,NO AVAILABLE,,,,,16,GVQ,32,25,1024,6
2022.10.24,EnCodec,24kHz Monophonic,encodec_24khz,DNS Challenge4 + CommonVoice + AudioSet + FSD50K,,Speech+Audio,,24,RVQ,32,75,1024,24
2022.10.24,EnCodec,48kHz Stereo,encodec_48khz,Jamendo,,Music,,48,RVQ
2022.11.22,Disen-TF-Codec,,,LibriSpeech train-clean-100,,Speech,,16,GVQ,"[2,6]",25,"[256,1024]","[0.40,1.50]"
2023.05.04,HiFi-Codec,Compare,Encodec_16k_320
2023.05.04,HiFi-Codec,Compare,Encodec_24k_240d
2023.05.04,HiFi-Codec,Compare,Encodec_24k_32d
2023.05.04,HiFi-Codec,Compare,SoundStream_24k_240d
2023.05.04,HiFi-Codec,,HiFi-Codec-16k-320d,LibriTTS + VCTK + AISHELL,,Speech,,16,GRVQ,4,50,1024,2
2023.05.04,HiFi-Codec,,HiFi-Codec-16k-320d-large-universal,,,,,16,GRVQ,4,50,1024,2
2023.05.04,HiFi-Codec,,HiFi-Codec-24k-240d,,,,,24,GRVQ,4,100,1024,4
2023.05.04,HiFi-Codec,,HiFi-Codec-24k-320d,LibriTTS + VCTK + AISHELL,,Speech,,24,GRVQ,4,100,1024,4
2023.05.26,AudioDec,AsymAD,symAAD_vctk_48000_hop300,VCTK,,Speech,,48,,,,,12.8
2023.05.26,AudioDec,encoder + hifigan v0,symAD_vctk_48000_hop300 + AudioDec_v0_symAD_vctk_48000_hop300_clean,VCTK,,Speech,,48,,,,,12.8
2023.05.26,AudioDec,encoder + hifigan v1,symAD_libritts_24000_hop300 + AudioDec_v1_symAD_libritts_24000_hop300_clean,LibriTTS,,Speech,,24,,,,,6.4
2023.05.26,AudioDec,encoder + hifigan v1,symAD_vctk_48000_hop300 + AudioDec_v1_symAD_vctk_48000_hop300_clean,VCTK,,Speech,,48,,,,,12.8
2023.05.26,AudioDec,encoder + hifigan v2,symAD_vctk_48000_hop300 + AudioDec_v2_symAD_vctk_48000_hop300_clean,VCTK,,Speech,,48,,,,,12.8
2023.05.26,AudioDec,encoder + hifigan v3,symADuniv_vctk_48000_hop300 + AudioDec_v3_symADuniv_vctk_48000_hop300_clean,VCTK,,Speech,500k,48,,,,,12.8
2023.05.26,AudioDec,SymAD,symAD_c16_vctk_48000_hop320,VCTK,,Speech,,48,,,,,24
2023.05.26,AudioDec,SymAD,symAD_vctk_48000_hop300,VCTK,,Speech,,48,RVQ,8,160,1024,12.8
