ID,Abbr,ArXiv,ArXivDate,NewestDate,Title,Insitutions,Publish,DOI,Demo,Tags,Github,Authors
bai2022a3t,A3T,2203.09690v2,2022.03.18,2022.06.18,A$^3$T: Alignment-Aware Acoustic and Text Pretraining for Speech Synthesis and Editing,,ICML2022,,,,,"He Bai, Renjie Zheng, Junkun Chen, Xintong Li, Mingbo Ma, Liang Huang"
shen2023acoustic,aBPE,2310.14580v4,2023.10.23,2024.01.15,Acoustic BPE for Speech Generation with Discrete Tokens,,,,,,,"Feiyu Shen, Yiwei Guo, Chenpeng Du, Xie Chen, Kai Yu"
wang2024attention,ACI,2404.19723v2,2024.04.30,2024.10.18,Attention-Constrained Inference for Robust Decoder-Only Text-to-Speech,,,,,,,"Hankun Wang, Chenpeng Du, Yiwei Guo, Shuai Wang, Xie Chen, Kai Yu"
shazeer2018adafactor,Adafactor,1804.04235v1,2018.04.11,2018.04.11,Adafactor: Adaptive Learning Rates with Sublinear Memory Cost,,,,,Optimizer,,"Noam Shazeer, Mitchell Stern"
lv2023adalomo,AdaLomo,2310.10195v3,2023.10.16,2024.06.06,AdaLomo: Low-Memory Optimization with Adaptive Learning Rate,,,,,Optimizer,,"Kai Lv, Hang Yan, Qipeng Guo, Haijun Lv, Xipeng Qiu"
kingma2014adam,Adam,1412.6980v9,2014.12.22,2017.01.30,Adam: A Method for Stochastic Optimization,,ICLR2015,,,Optimizer,,"Diederik P. Kingma, Jimmy Ba"
loshchilov2017decoupled,AdamW,1711.05101v3,2017.11.14,2019.01.04,Decoupled Weight Decay Regularization,University of Freiburg@DEU,ICLR2019,,,Optimizer,,"Ilya Loshchilov, Frank Hutter"
xu2019understanding,AdaNorm,1911.07013v1,2019.11.16,2019.11.16,Understanding and Improving Layer Normalization,,,,,Normalization,,"Jingjing Xu, Xu Sun, Zhiyuan Zhang, Guangxiang Zhao, Junyang Lin"
chen2021adaspeech,AdaSpeech,2103.00993v1,2021.03.01,2021.03.01,AdaSpeech: Adaptive Text to Speech for Custom Voice,,,,,TTS,,"Mingjian Chen, Xu Tan, Bohan Li, Yanqing Liu, Tao Qin, Sheng Zhao, Tie-Yan Liu"
yan2021adaspeech2,AdaSpeech2,2104.09715v1,2021.04.20,2021.04.20,AdaSpeech 2: Adaptive Text to Speech with Untranscribed Data,,,,,TTS,,"Yuzi Yan, Xu Tan, Bohan Li, Tao Qin, Sheng Zhao, Yuan Shen, Tie-Yan Liu"
yan2021adaspeech3,AdaSpeech3,2107.02530v1,2021.07.06,2021.07.06,AdaSpeech 3: Adaptive Text to Speech for Spontaneous Style,,,,,TTS,,"Yuzi Yan, Xu Tan, Bohan Li, Guangyan Zhang, Tao Qin, Sheng Zhao, Yuan Shen, Wei-Qiang Zhang, Tie-Yan Liu"
wu2022adaspeech4,AdaSpeech4,2204.00436v1,2022.04.01,2022.04.01,AdaSpeech 4: Adaptive Text to Speech in Zero-Shot Scenarios,,,,,TTS,,"Yihan Wu, Xu Tan, Bohan Li, Lei He, Sheng Zhao, Ruihua Song, Tao Qin, Tie-Yan Liu"
pagliardini2024ademamix,AdEMAMix,2409.03137v2,2024.09.05,2024.09.27,"The AdEMAMix Optimizer: Better, Faster, Older",,,,,Optimizer,,"Matteo Pagliardini, Pierre Ablin, David Grangier"
dhariwal2021diffusion,ADM,2105.05233v4,2021.05.11,2021.06.01,Diffusion Models Beat GANs on Image Synthesis,,,,,,,"Prafulla Dhariwal, Alex Nichol"
shi2026affectcodec,AffectCodec,2605.11098v1,2026.05.11,2026.05.11,AffectCodec: Emotion-Preserving Neural Speech Codec for Expressive Speech Modeling,,,,,Codec,,"Jiacheng Shi, Hongfei Du, Xinyuan Song, Y. Alicia Hong, Yanfu Zhang, Ye Gao"
lian2024affectgpt,AffectGPT,2407.07653v1,2024.07.10,2024.07.10,AffectGPT: Dataset and Framework for Explainable Multimodal Emotion Recognition,,,,,,,"Zheng Lian, Haiyang Sun, Licai Sun, Jiangyan Yi, Bin Liu, Jianhua Tao"
qi2026affectspeech,AffectSpeech,2604.04160v1,2026.04.05,2026.04.05,AffectSpeech: A Large-Scale Emotional Speech Dataset with Fine-Grained Textual Descriptions for Speech Emotion Captioning and Synthesis,,,,,Dataset,,"Tianhua Qi, Wenming Zheng, Björn W. Schuller, Zhaojie Luo, Haizhou Li"
bu2017aishell-1,AISHELL-1,1709.05522v1,2017.09.16,2017.09.16,AISHELL-1: An Open-Source Mandarin Speech Corpus and a Speech Recognition Baseline,,,,,Dataset,,"Hui Bu, Jiayu Du, Xingyu Na, Bengu Wu, Hao Zheng"
du2018aishell-2,AISHELL-2,1808.10583v2,2018.08.31,2018.09.13,AISHELL-2: Transforming Mandarin ASR Research Into Industrial Scale,,,,,Dataset,,"Jiayu Du, Xingyu Na, Xuechen Liu, Hui Bu"
shi2020aishell-3,AISHELL-3,2010.11567v2,2020.10.22,2021.04.22,AISHELL-3: A Multi-Speaker Mandarin TTS Corpus and the Baselines,,,,,Dataset,,"Yao Shi, Hui Bu, Xin Xu, Shaoji Zhang, Ming Li"
fu2021aishell-4,AISHELL-4,2104.03603v4,2021.04.08,2021.08.10,"AISHELL-4: An Open Source Dataset for Speech Enhancement, Separation, Recognition and Speaker Diarization in Conference Scenario",,,,,Dataset,,"Yihui Fu, Luyao Cheng, Shubo Lv, Yukai Jv, Yuxiang Kong, Zhuo Chen, Yanxin Hu, Lei Xie, Jian Wu, Hui Bu, Xin Xu, Jun Du, Jingdong Chen"
dai2025aishell-5,AISHELL-5,2505.23036v1,2025.05.29,2025.05.29,AISHELL-5: The First Open-Source in-Car Multi-Channel Multi-Speaker Speech Dataset for Automatic Speech Diarization and Recognition,,,,,Dataset,,"Yuhang Dai, He Wang, Xingchen Li, Zihan Zhang, Shuiyuan Wang, Lei Xie, Xin Xu, Hongxiao Guo, Shaoji Zhang, Hui Bu, Wei Chen"
chen2022aishell-ner,AISHELL-NER,2202.08533v1,2022.02.17,2022.02.17,AISHELL-NER: Named Entity Recognition from Chinese Speech,,,,,Dataset,,"Boli Chen, Guangwei Xu, Xiaobin Wang, Pengjun Xie, Meishan Zhang, Fei Huang"
press2021train,AliBi,2108.12409v2,2021.08.27,2022.04.22,"Train Short, Test Long: Attention with Linear Biases Enables Input Length Extrapolation",,,,,,,"Ofir Press, Noah A. Smith, Mike Lewis"
lin2024align-slm,Align-SLM,2411.01834v2,2024.11.04,2025.05.27,Align-SLM: Textless Spoken Language Models with Reinforcement Learning From AI Feedback,,,,,,,"Guan-Ting Lin, Prashanth Gurunath Shivakumar, Aditya Gourav, Yile Gu, Ankur Gandhe, Hung-yi Lee, Ivan Bulyko"
zeng2020aligntts,AlignTTS,2003.01950v1,2020.03.04,2020.03.04,AlignTTS: Efficient Feed-Forward Text-to-Speech System without Explicit Alignment,,ICASSP2020,,,TTS,,"Zhen Zeng, Jianzong Wang, Ning Cheng, Tian Xia, Jing Xiao"
zhang2023amphion,Amphion,2312.09911v3,2023.12.15,2024.09.16,"Amphion: An Open-Source Audio, Music and Speech Generation Toolkit","CUHK(SZ)@CHN, SRIBD@CHN, ShanghaiAILab@CHN",,,,,,"Xueyao Zhang, Liumeng Xue, Yicheng Gu, Yuancheng Wang, Jiaqi Li, Haorui He, Chaoren Wang, Songting Liu, Xi Chen, Junan Zhang, Zihao Fang, Haopeng Chen, Tze Ying Tang, Lexiao Zou, Mingxuan Wang, Jun Han, Kai Chen, Haizhou Li, Zhizheng Wu"
zhan2024anygpt,AnyGPT,2402.12226v5,2024.02.19,2025.09.08,AnyGPT: Unified Multimodal LLM with Discrete Sequence Modeling,,,,,,,"Jun Zhan, Junqi Dai, Jiasheng Ye, Yunhua Zhou, Dong Zhang, Zhigeng Liu, Xin Zhang, Ruibin Yuan, Ge Zhang, Linyang Li, Hang Yan, Jie Fu, Tao Gui, Tianxiang Sun, Yu-Gang Jiang, Xipeng Qiu"
chung2019an,APC,1904.03240v2,2019.04.05,2019.06.19,An Unsupervised Autoregressive Model for Speech Representation Learning,,,,,,,"Yu-An Chung, Wei-Ning Hsu, Hao Tang, James Glass"
ai2024apcodec,APCodec,2402.10533v2,2024.02.16,2024.09.24,APCodec: A Neural Audio Codec with Parallel Amplitude and Phase Spectrum Encoding and Decoding,,,,,,,"Yang Ai, Xiao-Hang Jiang, Ye-Xin Lu, Hui-Peng Du, Zhen-Hua Ling"
du2024apcodec+,APCodec+,2410.22807v1,2024.10.30,2024.10.30,APCodec+: A Spectrum-Coding-Based High-Fidelity and High-Compression-Rate Neural Audio Codec with Staged Training Paradigm,,,,,Codec,,"Hui-Peng Du, Yang Ai, Rui-Chen Zheng, Zhen-Hua Ling"
ai2023apnet,APNet,2305.07952v1,2023.05.13,2023.05.13,APNet: An All-Frame-Level Neural Vocoder Incorporating Direct Prediction of Amplitude and Phase Spectra,,,,,Vocoder,,"Yang Ai, Zhen-Hua Ling"
du2023apnet2,APNet2,2311.11545v1,2023.11.20,2023.11.20,APNet2: High-Quality and High-Efficiency Neural Vocoder with Direct Prediction of Amplitude and Phase Spectra,,,,,Vocoder,,"Hui-Peng Du, Ye-Xin Lu, Yang Ai, Zhen-Hua Ling"
wu2026archi-tts,ARCHI-TTS,2602.05207v1,2026.02.05,2026.02.05,ARCHI-TTS: A Flow-Matching-Based Text-to-Speech Model with Self-Supervised Semantic Aligner and Accelerated Inference,,,,,TTS,,"Chunyat Wu, Jiajun Deng, Zhengxi Liu, Zheqi Dai, Haolin He, Qiuqiang Kong"
liu2024autoregressive,ARDiT,2406.05551v1,2024.06.08,2024.06.08,Autoregressive Diffusion Transformer for Text-to-Speech Synthesis,,,,,TTS,,"Zhijun Liu, Shuai Wang, Sho Inoue, Qibing Bai, Haizhou Li"
jun2024coding,Articulatory Encodec,2406.12998v4,2024.06.18,2024.12.14,Coding Speech Through Vocal Tract Kinematics,University of California Berkeley@USA,,,,,,"Cheol Jun Cho, Peter Wu, Tejas S. Prabhune, Dhruv Agarwal, Gopala K. Anumanchipalli"
ye2023asq,ASQ,,,2023.12.26,ASQ: An Ultra-Low Bit Rate ASR-Oriented Speech Quantization Method,,LSP2023,https://doi.org/10.1109/LSP.2023.3347148,,,,"Lingxuan Ye, Changfeng Gao, Gaodeng Cheng, Liuping Luo, Qingwei Zhao"
chi2020audio,Audio ALBERT,2005.08575v5,2020.05.18,2021.05.03,Audio ALBERT: A Lite BERT for Self-Supervised Learning of Audio Representation,,,,,SSL,,"Po-Han Chi, Pei-Hung Chung, Tsung-Han Wu, Chun-Cheng Hsieh, Yen-Hao Chen, Shang-Wen Li, Hung-yi Lee"
kong2024audio,Audio Flamingo,2402.01831v3,2024.02.02,2024.05.28,Audio Flamingo: A Novel Audio Language Model with Few-Shot Learning and Dialogue Abilities,,,,,,,"Zhifeng Kong, Arushi Goel, Rohan Badlani, Wei Ping, Rafael Valle, Bryan Catanzaro"
vyas2023audiobox,Audiobox,2312.15821v1,2023.12.25,2023.12.25,Audiobox: Unified Audio Generation with Natural Language Prompts,,,,,,,"Apoorv Vyas, Bowen Shi, Matthew Le, Andros Tjandra, Yi-Chiao Wu, Baishan Guo, Jiemin Zhang, Xinyue Zhang, Robert Adkins, William Ngan, Jeff Wang, Ivan Cruz, Bapi Akula, Akinniyi Akinyemi, Brian Ellis, Rashel Moritz, Yael Yungster, Alice Rakotoarison, Liang Tan, Chris Summers, Carleigh Wood, Joshua Lane, Mary Williamson, Wei-Ning Hsu"
chen2026audiochat,AudioChat,2602.17097v1,2026.02.19,2026.02.19,"AudioChat: Unified Audio Storytelling, Editing, and Understanding With Transfusion Forcing",,,,,,,"William Chen, Prem Seetharaman, Rithesh Kumar, Oriol Nieto, Shinji Watanabe, Justin Salamon, Zeyu Jin"
fathullah2023audiochatllama,AudioChatLLaMA,2311.06753v2,2023.11.12,2024.04.12,AudioChatLLaMA: Towards General-Purpose Speech Abilities for LLMs,,,,,,,"Yassir Fathullah, Chunyang Wu, Egor Lakomkin, Ke Li, Junteng Jia, Yuan Shangguan, Jay Mahadeokar, Ozlem Kalinli, Christian Fuegen, Mike Seltzer"
wu2023audiodec,AudioDec,2305.16608v1,2023.05.26,2023.05.26,AudioDec: An Open-Source Streaming High-Fidelity Neural Audio Codec,,,,,Codec,,"Yi-Chiao Wu, Israel D. Gebru, Dejan Marković, Alexander Richard"
kreuk2022audiogen,AudioGen,2209.15352v2,2022.09.30,2023.03.05,AudioGen: Textually Guided Audio Generation,,,,,,,"Felix Kreuk, Gabriel Synnaeve, Adam Polyak, Uriel Singer, Alexandre Défossez, Jade Copet, Devi Parikh, Yaniv Taigman, Yossi Adi"
